,NCTId,Phase
3704,NCT00102388,Phase 3
3703,NCT00395876,Phase 3
3700,NCT00729937,Phase 3
3139,NCT02722278,Phase 3
3699,NCT00110240,Phase 3
3697,NCT00368134,Phase 3
7510,NCT03431558,Phase 3
3691,NCT00294242,Phase 3
5850,NCT03164616,Phase 3
3687,NCT00347412,Phase 3
3132,NCT02148445,Phase 3
3733,NCT00353574,Phase 3
3145,NCT00308620,Phase 3
2220,NCT01461889,Phase 3
3777,NCT00486018,Phase 3
3776,NCT00087529,Phase 3
5515,NCT02759744,Phase 3
8467,NCT01582451,Phase 3
1271,NCT00859105,Phase 3
1272,NCT00751127,Phase 3
7083,NCT00109551,Phase 3
8752,NCT02819141,Phase 3
7089,NCT00109616,Phase 3
7525,NCT00129532,Phase 3
7524,NCT00130078,Phase 3
1280,NCT01166815,Phase 3
3755,NCT00724906,Phase 3
7522,NCT00336245,Phase 3
7520,NCT00396526,Phase 3
7102,NCT02447848,Phase 3
3746,NCT02987257,Phase 3
3745,NCT03588741,Phase 3
3744,NCT00330369,Phase 3
1292,NCT00219323,Phase 3
1293,NCT02052310,Phase 3
1294,NCT00220740,Phase 3
7516,NCT01386294,Phase 3
3737,NCT01488227,Phase 3
3735,NCT00101673,Phase 3
3130,NCT00001729,Phase 3
8739,NCT02496780,Phase 3
2419,NCT00102817,Phase 3
7505,NCT00337428,Phase 3
3540,NCT00268957,Phase 3
7489,NCT02725255,Phase 3
1692,NCT02239926,Phase 3
7193,NCT03885973,Phase 3
3590,NCT00773279,Phase 3
72,NCT00800267,Phase 3
7194,NCT03829358,Phase 3
3586,NCT00396032,Phase 3
3581,NCT01162122,Phase 3
8673,NCT00944060,Phase 3
7201,NCT02929134,Phase 3
3174,NCT01309828,Phase 3
7202,NCT02929121,Phase 3
7203,NCT02927496,Phase 3
3573,NCT01045707,Phase 3
3567,NCT00492596,Phase 3
9940,NCT03803553,Phase 3
7215,NCT00407394,Phase 3
7216,NCT00396500,Phase 3
7217,NCT00355043,Phase 3
7218,NCT00351702,Phase 3
5824,NCT01387269,Phase 3
8500,NCT03841682,Phase 3
5821,NCT01387282,Phase 3
5820,NCT01395914,Phase 3
8086,NCT00936390,Phase 3
5817,NCT03654053,Phase 3
1435,NCT00164619,Phase 3
1436,NCT01465503,Phase 3
1398,NCT00412087,Phase 3
7182,NCT02845349,Phase 3
3682,NCT00389675,Phase 3
8682,NCT02352103,Phase 3
3676,NCT03790137,Phase 3
8484,NCT01790438,Phase 3
1351,NCT00505414,Phase 3
3672,NCT00321295,Phase 3
3670,NCT00232115,Phase 3
1357,NCT02979613,Phase 3
7142,NCT01046825,Phase 3
8700,NCT01454284,Phase 3
3664,NCT01261325,Phase 3
7494,NCT00153777,Phase 3
3658,NCT00260156,Phase 3
5836,NCT02081391,Phase 3
3650,NCT03739021,Phase 3
7999,NCT01177137,Phase 3
3647,NCT01070056,Phase 3
3645,NCT00318422,Phase 3
3644,NCT00518882,Phase 3
3643,NCT00936897,Phase 3
5832,NCT04463264,Phase 3
8001,NCT02949128,Phase 3
3632,NCT00978627,Phase 3
7493,NCT00213083,Phase 3
1382,NCT04453293,Phase 3
3629,NCT00396318,Phase 3
3628,NCT00733096,Phase 3
3621,NCT03814798,Phase 3
2281,NCT01878786,Phase 3
4135,NCT04120194,Phase 3
9830,NCT03878589,Phase 3
2758,NCT04346615,Phase 3
9227,NCT04378075,Phase 3
6606,NCT00623090,Phase 3
4571,NCT00141895,Phase 3
7913,NCT00719563,Phase 3
5202,NCT00230646,Phase 3
8245,NCT03112720,Phase 3
5204,NCT00046306,Phase 3
4552,NCT00364182,Phase 3
7915,NCT00956813,Phase 3
7772,NCT02221869,Phase 3
2524,NCT01079234,Phase 3
2768,NCT00658476,Phase 3
2672,NCT03294538,Phase 3
7925,NCT01107626,Phase 3
2174,NCT00001101,Phase 3
4535,NCT03660917,Phase 3
5218,NCT02138838,Phase 3
4532,NCT04386577,Phase 3
2770,NCT02034513,Phase 3
4529,NCT00731497,Phase 3
1958,NCT00313001,Phase 3
8313,NCT00032760,Phase 3
7768,NCT01597518,Phase 3
2175,NCT00000938,Phase 3
7873,NCT03751124,Phase 3
1966,NCT00278772,Phase 3
4882,NCT03143049,Phase 3
1968,NCT03009019,Phase 3
2761,NCT01044927,Phase 3
9294,NCT04319198,Phase 3
2747,NCT02825251,Phase 3
6557,NCT02349945,Phase 3
8299,NCT03383666,Phase 3
9284,NCT04328467,Phase 3
6561,NCT04200352,Phase 3
5194,NCT01347112,Phase 3
6344,NCT02932475,Phase 3
6571,NCT02049151,Phase 3
8248,NCT02637427,Phase 3
9275,NCT04334382,Phase 3
6576,NCT00689221,Phase 3
6577,NCT03828019,Phase 3
9266,NCT04341727,Phase 3
9264,NCT04342689,Phase 3
6580,NCT00157586,Phase 3
9713,NCT03976102,Phase 3
1973,NCT03006276,Phase 3
4594,NCT01892514,Phase 3
8304,NCT00380068,Phase 3
4591,NCT01001325,Phase 3
9258,NCT04344860,Phase 3
7775,NCT00283153,Phase 3
6645,NCT02187224,Phase 3
7820,NCT01352637,Phase 3
4516,NCT00527722,Phase 3
7826,NCT00841126,Phase 3
6683,NCT02987543,Phase 3
6686,NCT00000700,Phase 3
1944,NCT00277667,Phase 3
2514,NCT00636454,Phase 3
8189,NCT01996865,Phase 3
6060,NCT02303964,Phase 3
7827,NCT02607865,Phase 3
9506,NCT04126096,Phase 3
2069,NCT00225862,Phase 3
2820,NCT00104182,Phase 3
8324,NCT01506323,Phase 3
7726,NCT00115271,Phase 3
2822,NCT00097084,Phase 3
2823,NCT00095082,Phase 3
8330,NCT00767806,Phase 3
4418,NCT00554736,Phase 3
9153,NCT04459416,Phase 3
4417,NCT00460967,Phase 3
2184,NCT03606460,Phase 3
2128,NCT04576949,Phase 3
5253,NCT00010504,Phase 3
7828,NCT01374906,Phase 3
6288,NCT00518713,Phase 3
7741,NCT00136370,Phase 3
7824,NCT01299272,Phase 3
9212,NCT04388319,Phase 3
4480,NCT03602118,Phase 3
8315,NCT03637972,Phase 3
4513,NCT01782053,Phase 3
6651,NCT01706211,Phase 3
4510,NCT00211991,Phase 3
7761,NCT02870205,Phase 3
4508,NCT01169259,Phase 3
4505,NCT00202878,Phase 3
6178,NCT00308113,Phase 3
7822,NCT00094302,Phase 3
7760,NCT02927249,Phase 3
9192,NCT04409236,Phase 3
4922,NCT00197223,Phase 3
6070,NCT02011542,Phase 3
6667,NCT02792699,Phase 3
9493,NCT04142983,Phase 3
4494,NCT00883792,Phase 3
7823,NCT01085136,Phase 3
5232,NCT00187928,Phase 3
8237,NCT04363450,Phase 3
4485,NCT00211900,Phase 3
5233,NCT01520298,Phase 3
7922,NCT00072046,Phase 3
7868,NCT00337467,Phase 3
9464,NCT04176172,Phase 3
4630,NCT00750685,Phase 3
1984,NCT01999322,Phase 3
9389,NCT04240756,Phase 3
9432,NCT04210180,Phase 3
7797,NCT00198822,Phase 3
2556,NCT00262249,Phase 3
8260,NCT00515177,Phase 3
2555,NCT01364428,Phase 3
7794,NCT03399786,Phase 3
6448,NCT00451867,Phase 3
2721,NCT00753922,Phase 3
2013,NCT00895635,Phase 3
7806,NCT00706394,Phase 3
4744,NCT00220363,Phase 3
7793,NCT02963922,Phase 3
8258,NCT00067353,Phase 3
2011,NCT02500836,Phase 3
5149,NCT01202500,Phase 3
5150,NCT02172040,Phase 3
4733,NCT03280979,Phase 3
2694,NCT01386528,Phase 3
2725,NCT00812097,Phase 3
7810,NCT03136484,Phase 3
9369,NCT04256317,Phase 3
7899,NCT00272779,Phase 3
4834,NCT01881828,Phase 3
4764,NCT01843751,Phase 3
7798,NCT00256750,Phase 3
2544,NCT01513473,Phase 3
6129,NCT01111682,Phase 3
2567,NCT00004992,Phase 3
4801,NCT02350231,Phase 3
6401,NCT00031499,Phase 3
2026,NCT01589523,Phase 3
6389,NCT00000174,Phase 3
4794,NCT01557400,Phase 3
7804,NCT00860470,Phase 3
2149,NCT00751179,Phase 3
2565,NCT00411892,Phase 3
9670,NCT04003987,Phase 3
5119,NCT02720471,Phase 3
4815,NCT01068522,Phase 3
2707,NCT02939287,Phase 3
9407,NCT04229979,Phase 3
9406,NCT04231318,Phase 3
2559,NCT00729690,Phase 3
9403,NCT04233073,Phase 3
2708,NCT01502124,Phase 3
6424,NCT00021814,Phase 3
6429,NCT01875653,Phase 3
4771,NCT04509622,Phase 3
2570,NCT01598896,Phase 3
6437,NCT00032448,Phase 3
6472,NCT00000152,Phase 3
2163,NCT03508739,Phase 3
4640,NCT01511939,Phase 3
6522,NCT04032158,Phase 3
9455,NCT04188197,Phase 3
8289,NCT00308386,Phase 3
9697,NCT03985423,Phase 3
7785,NCT04393246,Phase 3
2145,NCT01681992,Phase 3
6528,NCT04464707,Phase 3
9320,NCT04299438,Phase 3
6529,NCT04458857,Phase 3
5187,NCT01636466,Phase 3
5189,NCT02979197,Phase 3
2741,NCT00523042,Phase 3
4853,NCT04525326,Phase 3
6532,NCT03893825,Phase 3
6533,NCT03813238,Phase 3
7815,NCT02849080,Phase 3
4862,NCT01578499,Phase 3
6536,NCT01746979,Phase 3
6353,NCT00482612,Phase 3
1986,NCT03568331,Phase 3
6537,NCT00916656,Phase 3
1985,NCT04140695,Phase 3
4642,NCT01084239,Phase 3
2680,NCT00927862,Phase 3
7813,NCT02216123,Phase 3
4668,NCT00140114,Phase 3
4726,NCT01715740,Phase 3
6363,NCT03832049,Phase 3
4725,NCT00062556,Phase 3
8273,NCT03069352,Phase 3
6480,NCT04373967,Phase 3
9357,NCT04264897,Phase 3
5162,NCT04500626,Phase 3
4708,NCT01810731,Phase 3
9353,NCT04269707,Phase 3
6372,NCT00996281,Phase 3
6488,NCT04365270,Phase 3
9350,NCT04270682,Phase 3
6491,NCT01697267,Phase 3
4702,NCT02045290,Phase 3
8280,NCT01910402,Phase 3
2733,NCT03163849,Phase 3
5175,NCT02945046,Phase 3
5176,NCT02964338,Phase 3
8182,NCT02422940,Phase 3
6516,NCT01853384,Phase 3
6366,NCT00458510,Phase 3
6364,NCT00518323,Phase 3
5109,NCT02839785,Phase 3
4672,NCT00486811,Phase 3
6521,NCT04032171,Phase 3
6052,NCT02506192,Phase 3
7738,NCT00707785,Phase 3
8232,NCT01811940,Phase 3
9078,NCT04524273,Phase 3
6821,NCT02222532,Phase 3
7862,NCT03828201,Phase 3
7936,NCT01011478,Phase 3
4985,NCT03785678,Phase 3
6261,NCT01790659,Phase 3
7937,NCT00041119,Phase 3
4242,NCT00000173,Phase 3
5317,NCT01308814,Phase 3
8360,NCT00074802,Phase 3
8361,NCT02541032,Phase 3
4236,NCT00332709,Phase 3
6198,NCT02903355,Phase 3
7938,NCT00869206,Phase 3
7844,NCT02229851,Phase 3
7940,NCT00058357,Phase 3
5320,NCT00016653,Phase 3
4229,NCT02716909,Phase 3
6837,NCT01494519,Phase 3
4225,NCT03474029,Phase 3
4991,NCT01174173,Phase 3
6841,NCT04534959,Phase 3
4221,NCT01190267,Phase 3
8369,NCT01096628,Phase 3
8145,NCT01141049,Phase 3
7934,NCT00382070,Phase 3
7865,NCT02476253,Phase 3
6797,NCT02428920,Phase 3
8150,NCT00568308,Phase 3
1899,NCT03118297,Phase 3
8349,NCT01435616,Phase 3
2866,NCT01106456,Phase 3
9073,NCT04526665,Phase 3
4286,NCT01076816,Phase 3
9066,NCT04535986,Phase 3
2087,NCT00363857,Phase 3
7931,NCT00053898,Phase 3
2878,NCT01676116,Phase 3
4277,NCT00999986,Phase 3
4249,NCT02752035,Phase 3
7836,NCT02143973,Phase 3
4274,NCT00358917,Phase 3
8154,NCT00738920,Phase 3
2594,NCT01347762,Phase 3
2595,NCT02648204,Phase 3
9054,NCT04546581,Phase 3
2889,NCT00981266,Phase 3
4255,NCT00032344,Phase 3
4254,NCT01190254,Phase 3
4253,NCT00576693,Phase 3
6202,NCT00036647,Phase 3
7942,NCT00040885,Phase 3
7845,NCT02143648,Phase 3
4157,NCT00005007,Phase 3
4178,NCT04536298,Phase 3
2930,NCT03399500,Phase 3
6242,NCT04573478,Phase 3
6205,NCT01656889,Phase 3
2107,NCT00007735,Phase 3
4169,NCT03180723,Phase 3
6238,NCT02503319,Phase 3
6237,NCT02604238,Phase 3
6879,NCT03582176,Phase 3
4158,NCT02842853,Phase 3
2935,NCT00283751,Phase 3
8975,NCT01721044,Phase 3
6236,NCT02775773,Phase 3
6228,NCT02706847,Phase 3
2611,NCT02311777,Phase 3
7649,NCT01390220,Phase 3
6223,NCT02706951,Phase 3
6222,NCT02675426,Phase 3
2218,NCT01702428,Phase 3
2946,NCT00598793,Phase 3
6221,NCT02629159,Phase 3
6886,NCT03038594,Phase 3
4179,NCT00959764,Phase 3
6864,NCT01126697,Phase 3
7943,NCT00087178,Phase 3
5047,NCT01500083,Phase 3
4214,NCT02316353,Phase 3
6845,NCT00119106,Phase 3
4211,NCT02322333,Phase 3
4997,NCT00138723,Phase 3
4210,NCT01701349,Phase 3
1870,NCT02341079,Phase 3
2623,NCT00005575,Phase 3
4204,NCT03945981,Phase 3
7944,NCT00365105,Phase 3
6853,NCT00007748,Phase 3
4196,NCT00970853,Phase 3
2928,NCT00106366,Phase 3
5330,NCT00526994,Phase 3
2915,NCT01680341,Phase 3
7667,NCT01212848,Phase 3
8211,NCT01882439,Phase 3
6863,NCT00760851,Phase 3
4187,NCT01795547,Phase 3
7946,NCT01376349,Phase 3
4184,NCT02004691,Phase 3
7848,NCT02131272,Phase 3
8979,NCT04607668,Phase 3
2861,NCT04570475,Phase 3
2887,NCT00097279,Phase 3
4808,NCT00279617,Phase 3
4383,NCT01223313,Phase 3
7929,NCT00075946,Phase 3
2835,NCT01850615,Phase 3
4342,NCT00136019,Phase 3
4341,NCT03163589,Phase 3
1910,NCT01545232,Phase 3
4338,NCT04333576,Phase 3
6721,NCT00640445,Phase 3
5067,NCT02678026,Phase 3
9098,NCT04505410,Phase 3
4388,NCT00221416,Phase 3
5265,NCT02556996,Phase 3
7832,NCT01504308,Phase 3
4954,NCT02299115,Phase 3
5279,NCT02624674,Phase 3
2851,NCT04313088,Phase 3
4328,NCT03172741,Phase 3
2834,NCT02305381,Phase 3
1908,NCT00118898,Phase 3
1920,NCT00380445,Phase 3
6188,NCT00962637,Phase 3
2651,NCT02548117,Phase 3
7719,NCT00201929,Phase 3
4369,NCT02230566,Phase 3
4367,NCT02849301,Phase 3
6730,NCT01043718,Phase 3
9118,NCT04486313,Phase 3
8230,NCT03344419,Phase 3
9116,NCT04486716,Phase 3
4953,NCT00817947,Phase 3
6728,NCT00310791,Phase 3
9760,NCT03933631,Phase 3
4361,NCT00522041,Phase 3
4957,NCT02178410,Phase 3
9625,NCT04039087,Phase 3
4952,NCT03030599,Phase 3
5273,NCT00130377,Phase 3
2508,NCT02129608,Phase 3
2848,NCT02030600,Phase 3
6035,NCT03078530,Phase 3
1907,NCT01591655,Phase 3
4337,NCT02578641,Phase 3
2857,NCT01231165,Phase 3
2196,NCT00314158,Phase 3
1902,NCT02579057,Phase 3
2593,NCT00427154,Phase 3
7926,NCT00265850,Phase 3
4971,NCT02694978,Phase 3
4390,NCT01296698,Phase 3
6027,NCT03197922,Phase 3
4403,NCT00360087,Phase 3
2643,NCT01135992,Phase 3
4309,NCT01897896,Phase 3
7834,NCT01702805,Phase 3
7927,NCT00134056,Phase 3
4405,NCT00734539,Phase 3
4298,NCT00098748,Phase 3
9514,NCT04121858,Phase 3
4297,NCT00006286,Phase 3
2645,NCT01228214,Phase 3
6273,NCT00606580,Phase 3
1923,NCT00037206,Phase 3
2073,NCT00133198,Phase 3
4323,NCT02317250,Phase 3
5066,NCT01801696,Phase 3
9534,NCT04104321,Phase 3
7930,NCT00008385,Phase 3
2860,NCT00333151,Phase 3
8231,NCT02255357,Phase 3
3273,NCT03233724,Phase 2
2366,NCT04033432,Phase 2
7871,NCT00248040,Phase 2
8045,NCT00061906,Phase 2
2394,NCT02828111,Phase 2
2390,NCT00680706,Phase 2
3189,NCT01884740,Phase 2
8035,NCT01112709,Phase 2
2701,NCT01564563,Phase 2
7853,NCT02006719,Phase 2
8061,NCT02272998,Phase 2
2352,NCT00856830,Phase 2
7443,NCT00675714,Phase 2
3182,NCT03462966,Phase 2
7830,NCT00415168,Phase 2
2610,NCT01378195,Phase 2
7856,NCT02386098,Phase 2
3272,NCT00469079,Phase 2
2619,NCT02841280,Phase 2
2621,NCT03050554,Phase 2
3227,NCT00578877,Phase 2
7440,NCT02215200,Phase 2
7479,NCT02169882,Phase 2
2354,NCT03219372,Phase 2
7855,NCT00773734,Phase 2
2657,NCT01011829,Phase 2
8043,NCT01337232,Phase 2
2692,NCT02443142,Phase 2
7457,NCT02791945,Phase 2
3269,NCT01347164,Phase 2
7879,NCT00033722,Phase 2
7819,NCT00742859,Phase 2
7417,NCT01426555,Phase 2
7432,NCT01750684,Phase 2
7833,NCT01775995,Phase 2
2645,NCT01228214,Phase 2
2680,NCT00927862,Phase 2
2574,NCT00758693,Phase 2
2637,NCT04276558,Phase 2
7883,NCT01470599,Phase 2
2673,NCT00808210,Phase 2
7881,NCT01393626,Phase 2
2678,NCT00868309,Phase 2
7468,NCT03964792,Phase 2
2345,NCT01252316,Phase 2
2585,NCT04322149,Phase 2
7876,NCT03817736,Phase 2
7878,NCT03563040,Phase 2
2676,NCT00835289,Phase 2
8019,NCT00043745,Phase 2
7458,NCT01672710,Phase 2
7425,NCT01454154,Phase 2
7836,NCT02143973,Phase 2
7456,NCT04360681,Phase 2
2594,NCT01347762,Phase 2
2605,NCT00356122,Phase 2
2348,NCT00248196,Phase 2
2370,NCT00271011,Phase 2
2689,NCT01322997,Phase 2
2331,NCT00420550,Phase 2
3268,NCT00837161,Phase 2
7445,NCT04533464,Phase 2
2572,NCT00135720,Phase 2
3267,NCT00911820,Phase 2
3223,NCT01440803,Phase 2
7412,NCT00615940,Phase 2
8057,NCT01530321,Phase 2
2691,NCT00850135,Phase 2
3222,NCT01775865,Phase 2
7877,NCT00823979,Phase 2
7845,NCT02143648,Phase 2
7415,NCT00350714,Phase 2
2337,NCT04374552,Phase 2
7832,NCT01504308,Phase 2
2608,NCT00352651,Phase 2
7435,NCT02656017,Phase 2
8017,NCT01695291,Phase 2
8050,NCT03389750,Phase 2
7413,NCT04060017,Phase 2
2385,NCT02714413,Phase 2
2588,NCT02414178,Phase 2
7839,NCT00827112,Phase 2
7821,NCT00857324,Phase 2
8015,NCT00004048,Phase 2
2483,NCT03337113,Phase 2
2570,NCT01598896,Phase 2
7966,NCT00088764,Phase 2
7596,NCT01661283,Phase 2
3026,NCT00183963,Phase 2
7708,NCT00859716,Phase 2
3024,NCT01926678,Phase 2
7601,NCT02420353,Phase 2
2857,NCT01231165,Phase 2
3017,NCT01185041,Phase 2
7604,NCT03357224,Phase 2
7967,NCT01124695,Phase 2
3007,NCT02682784,Phase 2
7619,NCT01339689,Phase 2
7698,NCT00399529,Phase 2
2870,NCT01248208,Phase 2
3002,NCT00001703,Phase 2
7964,NCT00040937,Phase 2
2996,NCT00814697,Phase 2
2888,NCT03405792,Phase 2
2890,NCT00006181,Phase 2
2502,NCT02404896,Phase 2
7617,NCT00140140,Phase 2
7595,NCT04545424,Phase 2
7591,NCT03844061,Phase 2
3033,NCT03058692,Phase 2
3037,NCT00135733,Phase 2
7973,NCT00085501,Phase 2
3062,NCT00283283,Phase 2
3060,NCT00106054,Phase 2
3059,NCT03427411,Phase 2
2830,NCT01484717,Phase 2
2833,NCT02970968,Phase 2
7569,NCT04322357,Phase 2
7572,NCT01988909,Phase 2
3047,NCT02800486,Phase 2
2840,NCT02560038,Phase 2
3042,NCT00208026,Phase 2
7928,NCT02331368,Phase 2
3276,NCT02118012,Phase 2
7587,NCT02755636,Phase 2
2847,NCT00253734,Phase 2
2506,NCT01349088,Phase 2
2849,NCT01202994,Phase 2
3038,NCT02191748,Phase 2
2851,NCT04313088,Phase 2
7618,NCT03005418,Phase 2
7961,NCT00689728,Phase 2
7562,NCT00711373,Phase 2
7651,NCT01802723,Phase 2
7657,NCT00978497,Phase 2
2962,NCT00463060,Phase 2
7947,NCT01091454,Phase 2
7636,NCT01207687,Phase 2
2931,NCT00256217,Phase 2
7637,NCT00073853,Phase 2
2932,NCT00502788,Phase 2
2934,NCT01047709,Phase 2
2958,NCT03740490,Phase 2
2939,NCT04011748,Phase 2
7621,NCT02114229,Phase 2
2954,NCT03408483,Phase 2
7650,NCT03850509,Phase 2
7638,NCT01169428,Phase 2
7948,NCT01009918,Phase 2
7648,NCT00790790,Phase 2
2943,NCT01979211,Phase 2
2480,NCT00907959,Phase 2
7647,NCT00785577,Phase 2
2484,NCT01985763,Phase 2
7659,NCT01999868,Phase 2
2613,NCT03432897,Phase 2
7945,NCT01439945,Phase 2
2907,NCT00123786,Phase 2
7686,NCT01067287,Phase 2
2467,NCT03426137,Phase 2
2893,NCT01288534,Phase 2
2987,NCT04417361,Phase 2
7941,NCT00110084,Phase 2
2899,NCT04090879,Phase 2
2901,NCT04134923,Phase 2
2981,NCT04311294,Phase 2
7629,NCT03193398,Phase 2
7680,NCT03000374,Phase 2
2471,NCT00590161,Phase 2
2492,NCT01751152,Phase 2
7953,NCT00079118,Phase 2
7952,NCT00124618,Phase 2
7678,NCT01968590,Phase 2
2905,NCT02002182,Phase 2
7631,NCT00622401,Phase 2
2906,NCT02988245,Phase 2
2972,NCT00624767,Phase 2
7974,NCT01641809,Phase 2
3068,NCT03679676,Phase 2
7806,NCT00706394,Phase 2
7785,NCT04393246,Phase 2
2736,NCT00154427,Phase 2
7497,NCT04471974,Phase 2
2542,NCT01611948,Phase 2
7998,NCT02831582,Phase 2
7996,NCT01058395,Phase 2
7500,NCT01023477,Phase 2
2737,NCT03211156,Phase 2
3150,NCT01673789,Phase 2
2738,NCT03338114,Phase 2
3145,NCT00308620,Phase 2
7991,NCT00872989,Phase 2
3141,NCT00585013,Phase 2
7782,NCT03698279,Phase 2
2540,NCT00056810,Phase 2
2420,NCT00123578,Phase 2
2423,NCT00461162,Phase 2
7993,NCT00121186,Phase 2
2746,NCT01334554,Phase 2
2537,NCT04433546,Phase 2
2748,NCT00108758,Phase 2
2730,NCT01013870,Phase 2
3158,NCT01736930,Phase 2
3159,NCT00251290,Phase 2
7789,NCT02599961,Phase 2
2566,NCT02877394,Phase 2
3180,NCT04287868,Phase 2
3176,NCT00087997,Phase 2
2399,NCT02840097,Phase 2
2706,NCT01624194,Phase 2
2403,NCT03960970,Phase 2
2404,NCT00675506,Phase 2
7799,NCT04060342,Phase 2
3173,NCT00995488,Phase 2
3172,NCT02176213,Phase 2
7489,NCT02725255,Phase 2
2548,NCT04346511,Phase 2
3169,NCT00711490,Phase 2
2411,NCT00682669,Phase 2
7897,NCT02415595,Phase 2
3167,NCT00323414,Phase 2
3166,NCT03003728,Phase 2
3163,NCT03452579,Phase 2
7790,NCT01770743,Phase 2
7780,NCT01522768,Phase 2
2751,NCT03930745,Phase 2
2826,NCT01511198,Phase 2
2445,NCT01862536,Phase 2
7981,NCT00124579,Phase 2
3092,NCT00006332,Phase 2
3089,NCT00775515,Phase 2
3087,NCT01665677,Phase 2
7548,NCT01125124,Phase 2
2793,NCT00134680,Phase 2
2798,NCT02644057,Phase 2
7979,NCT00217620,Phase 2
7978,NCT00268489,Phase 2
2802,NCT01915069,Phase 2
2536,NCT00010816,Phase 2
7555,NCT00165204,Phase 2
7740,NCT00441298,Phase 2
7977,NCT00776100,Phase 2
7559,NCT01605903,Phase 2
2812,NCT03334786,Phase 2
7731,NCT00901979,Phase 2
2514,NCT00636454,Phase 2
7725,NCT00138047,Phase 2
7561,NCT03005054,Phase 2
3098,NCT01475617,Phase 2
2523,NCT00499746,Phase 2
7537,NCT02709317,Phase 2
7982,NCT00096031,Phase 2
2752,NCT02916433,Phase 2
2754,NCT02205528,Phase 2
2755,NCT00102037,Phase 2
2758,NCT04346615,Phase 2
7645,NCT00744991,Phase 2
2760,NCT00405912,Phase 2
7985,NCT02760030,Phase 2
7775,NCT00283153,Phase 2
7984,NCT02940301,Phase 2
3120,NCT02124044,Phase 2
3118,NCT01785615,Phase 2
7774,NCT00727506,Phase 2
7773,NCT04373460,Phase 2
3115,NCT02630563,Phase 2
3110,NCT00001909,Phase 2
7534,NCT00675974,Phase 2
7768,NCT01597518,Phase 2
3106,NCT00287521,Phase 2
2774,NCT00612040,Phase 2
7687,NCT04053842,Phase 2
3882,NCT02820519,Phase 2
3279,NCT01661764,Phase 2
6275,NCT00468858,Phase 2
6271,NCT00703924,Phase 2
4974,NCT02747732,Phase 2
6270,NCT00868946,Phase 2
6269,NCT00992693,Phase 2
6268,NCT01032382,Phase 2
6267,NCT01080716,Phase 2
6266,NCT01083576,Phase 2
6265,NCT01290601,Phase 2
6264,NCT01435135,Phase 2
4983,NCT02720484,Phase 2
6263,NCT01536795,Phase 2
6260,NCT01843621,Phase 2
6259,NCT01931358,Phase 2
6258,NCT01933685,Phase 2
6255,NCT02488902,Phase 2
6254,NCT02488980,Phase 2
6253,NCT02491606,Phase 2
4998,NCT01874951,Phase 2
6252,NCT02864901,Phase 2
6272,NCT00623168,Phase 2
6276,NCT00460525,Phase 2
6248,NCT04333459,Phase 2
4964,NCT00672204,Phase 2
6299,NCT01326104,Phase 2
4929,NCT00422799,Phase 2
6296,NCT02953860,Phase 2
4933,NCT03042182,Phase 2
4934,NCT00141908,Phase 2
6295,NCT02955394,Phase 2
6292,NCT03796884,Phase 2
6291,NCT03892746,Phase 2
4942,NCT02165644,Phase 2
6287,NCT01335009,Phase 2
6285,NCT00162981,Phase 2
4947,NCT03908255,Phase 2
4949,NCT01479582,Phase 2
6283,NCT00287469,Phase 2
6282,NCT00298610,Phase 2
4959,NCT01584596,Phase 2
4960,NCT02941601,Phase 2
6278,NCT00370682,Phase 2
6277,NCT00384670,Phase 2
6250,NCT04283513,Phase 2
6245,NCT01294982,Phase 2
7406,NCT01416948,Phase 2
5073,NCT04502589,Phase 2
5076,NCT01001221,Phase 2
6183,NCT00122369,Phase 2
6181,NCT00206453,Phase 2
6179,NCT00256724,Phase 2
6174,NCT00404170,Phase 2
6173,NCT00405678,Phase 2
6171,NCT00410059,Phase 2
6170,NCT00411632,Phase 2
6167,NCT00527982,Phase 2
6166,NCT00541164,Phase 2
5097,NCT00109161,Phase 2
6163,NCT00583024,Phase 2
6162,NCT00583752,Phase 2
5101,NCT00574587,Phase 2
5102,NCT01993251,Phase 2
6158,NCT00636441,Phase 2
6155,NCT00656019,Phase 2
5110,NCT01280968,Phase 2
5115,NCT02002403,Phase 2
5075,NCT03662412,Phase 2
6186,NCT00921557,Phase 2
6241,NCT04573920,Phase 2
5066,NCT01801696,Phase 2
6239,NCT02305186,Phase 2
6230,NCT00321932,Phase 2
6226,NCT01885806,Phase 2
5027,NCT03779191,Phase 2
5028,NCT00167648,Phase 2
5032,NCT02056535,Phase 2
6212,NCT02481310,Phase 2
6211,NCT01942837,Phase 2
6210,NCT00004045,Phase 2
5043,NCT00901459,Phase 2
6203,NCT00372073,Phase 2
6201,NCT01055990,Phase 2
5053,NCT00790478,Phase 2
5054,NCT00298922,Phase 2
6196,NCT01076504,Phase 2
5059,NCT00356200,Phase 2
6192,NCT03821402,Phase 2
6190,NCT03418857,Phase 2
5065,NCT00612287,Phase 2
4925,NCT01846182,Phase 2
6300,NCT01119326,Phase 2
4920,NCT00159458,Phase 2
6524,NCT01969903,Phase 2
4679,NCT00914745,Phase 2
6510,NCT02691247,Phase 2
4686,NCT01241383,Phase 2
6504,NCT00840658,Phase 2
4691,NCT00836147,Phase 2
4700,NCT02274012,Phase 2
6493,NCT01045564,Phase 2
4708,NCT01810731,Phase 2
4710,NCT02829918,Phase 2
4715,NCT03512730,Phase 2
